stock_code,stock_name,price,shares_outstanding_100m,market_cap_100m,last_year_market_cap_100m,profit_1y_100m,fcff_profit_pct,dividend_payout_pct,perpetual_growth_pct,discount_rate_pct,safety_margin_pct,dcf_eps_cagr_pct,dcf_eps_cagr_phase2_pct,cash_100m,non_core_assets_100m,interest_bearing_debt_100m,parent_equity_ratio_pct,debt_cost_pct,debt_ratio_pct,equity_cost_pct,equity_ratio_pct,wacc_ref_pct
000333.SZ,美的集团,72.50,69.40,5559.69,5100.00,432.24,90.00,46.01,3.00,10.00,20.00,9.00,5.00,1404.10,121.60,465.92,95.20,3.60,18.00,10.00,82.00,8.85
000568.SZ,泸州老窖,119.20,14.71,1753.09,1680.00,117.00,64.81,49.21,3.00,10.00,20.00,11.00,5.00,335.78,44.96,63.04,99.75,3.40,12.00,10.00,88.00,9.21
000596.SZ,古井贡酒,190.00,5.29,732.59,680.00,62.25,77.40,37.71,3.00,10.00,20.00,10.00,5.00,158.94,0.72,1.76,95.96,3.30,4.00,10.00,96.00,9.73
000625.SZ,长安汽车,12.75,99.38,1267.02,1200.00,111.20,79.76,39.53,3.00,12.00,20.00,20.00,5.00,641.82,186.81,13.45,96.83,3.70,5.00,12.00,95.00,11.59
000651.SZ,格力电器,46.95,56.01,2629.86,2545.84,352.89,84.44,54.51,3.00,12.00,20.00,6.00,5.00,1139.00,209.04,579.51,97.11,4.10,18.54,12.00,81.46,10.54
000858.SZ,五粮液,124.30,38.82,4824.84,4500.00,340.03,90.00,49.11,3.00,10.00,20.00,6.00,5.00,1273.99,20.82,3.94,97.72,3.30,1.00,10.00,99.00,9.93
002003.SZ,伟星股份,12.00,10.36,124.37,112.00,22.00,85.00,75.68,2.00,10.00,20.00,15.00,4.00,11.08,1.17,7.26,98.97,3.60,20.00,10.00,80.00,8.72
002027.SZ,分众传媒,6.90,162.63,1122.16,1050.00,57.77,90.00,61.56,3.00,9.00,20.00,9.00,5.00,35.37,55.98,9.09,98.31,3.50,6.00,9.00,94.00,8.67
002154.SZ,报喜鸟,4.10,14.60,56.48,50.00,5.56,90.00,75.69,3.00,12.00,20.00,6.00,5.00,20.25,2.48,3.85,97.08,3.60,10.00,12.00,90.00,11.16
600519.SH,贵州茅台,1460.00,12.56,18337.60,17800.00,927.00,95.00,52.00,3.00,10.00,20.00,6.00,5.00,2200.00,50.00,0.00,100.00,3.20,0.00,10.00,100.00,10.00
300750.SZ,宁德时代,250.00,45.66,11415.00,10500.00,722.01,68.00,18.00,4.00,11.00,20.00,12.00,6.00,3100.00,220.00,980.00,98.50,4.20,20.00,11.00,80.00,9.64

